광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,1.1,27.6
강원도,춘천시,1.1,17.8
강원도,철원군,1.1,6.3
강원도,강릉시,1.1,11.9
강원도,횡성군,1.1,2.2
강원도,홍천군,1.1,4.3
강원도,동해시,1.1,3.8
강원도,속초시,1.1,4.1
강원도,정선군,1.1,2.4
강원도,양양군,1.1,2.6
강원도,삼척시,1.1,2.2
강원도,양구군,1.1,1.4
강원도,영월군,1.1,2.7
강원도,평창군,1.1,3.5
강원도,태백시,1.1,1.4
강원도,화천군,1.1,1.9
강원도,고성군,1.1,1.4
강원도,인제군,1.1,2.7
경기도,화성시,33.8,9.4
경기도,평택시,33.8,8.6
경기도,부천시,33.8,5.5
경기도,남양주시,33.8,3.6
경기도,안산시 단원구,33.8,2.9
경기도,수원시 권선구,33.8,3.6
경기도,용인시 기흥구,33.8,3.5
경기도,안산시 상록구,33.8,3.3
경기도,안성시,33.8,2.8
경기도,성남시 분당구,33.8,3.3
경기도,광주시,33.8,3.0
경기도,용인시 수지구,33.8,2.5
경기도,김포시,33.8,2.7
경기도,시흥시,33.8,3.1
경기도,오산시,33.8,2.5
경기도,수원시 영통구,33.8,2.7
경기도,군포시,33.8,2.2
경기도,수원시 장안구,33.8,2.4
경기도,용인시 처인구,33.8,2.4
경기도,광명시,33.8,2.0
경기도,안양시 동안구,33.8,2.2
경기도,의정부시,33.8,2.2
경기도,고양시 덕양구,33.8,2.2
경기도,안양시 만안구,33.8,1.7
경기도,파주시,33.8,2.0
경기도,수원시 팔달구,33.8,1.8
경기도,고양시 일산동구,33.8,1.6
경기도,성남시 수정구,33.8,1.7
경기도,이천시,33.8,1.6
경기도,하남시,33.8,1.7
경기도,성남시 중원구,33.8,1.3
경기도,의왕시,33.8,1.2
경기도,고양시 일산서구,33.8,1.3
경기도,구리시,33.8,1.1
경기도,양주시,33.8,1.0
경기도,포천시,33.8,0.8
경기도,여주시,33.8,0.6
경기도,양평군,33.8,0.6
경기도,과천시,33.8,0.5
경기도,동두천시,33.8,0.3
경기도,연천군,33.8,0.2
경기도,가평군,33.8,0.3
경상남도,거제시,0.9,8.7
경상남도,창원시 성산구,0.9,8.4
경상남도,김해시,0.9,13.8
경상남도,진주시,0.9,11.4
경상남도,양산시,0.9,9.4
경상남도,창원시 의창구,0.9,6.8
경상남도,하동군,0.9,1.2
경상남도,창원시 마산회원구,0.9,4.3
경상남도,창원시 진해구,0.9,6.0
경상남도,창녕군,0.9,2.2
경상남도,통영시,0.9,5.1
경상남도,고성군,0.9,2.1
경상남도,함안군,0.9,2.0
경상남도,함양군,0.9,1.9
경상남도,사천시,0.9,3.0
경상남도,거창군,0.9,1.8
경상남도,밀양시,0.9,2.9
경상남도,합천군,0.9,1.6
경상남도,창원시 마산합포구,0.9,5.1
경상남도,남해군,0.9,0.8
경상남도,의령군,0.9,0.4
경상남도,산청군,0.9,1.2
경상북도,구미시,1.1,17.1
경상북도,경산시,1.1,8.3
